level,category,feature,units,description,formula,scope,citation_or_rationale,locked_date
scenario,Demand growth,growth_rate_short_pct,% per year,Annualized demand CAGR from base year to 2035 (policy target horizon),"per material: ((D_2035/D_base)^(1/n) - 1)*100; flattened by mean across materials",demand=US,"CAGR convention; IEA WEO 2024; Graedel et al. 2015",2026-04-08
scenario,Demand growth,growth_rate_long_pct,% per year,Annualized demand CAGR from base year to 2050 (full horizon),"per material: ((D_2050/D_base)^(1/n) - 1)*100; flattened by mean across materials",demand=US,"CAGR convention; IEA WEO 2024",2026-04-08
scenario,Demand growth,peak_annual_growth_short_pct,% per year,Maximum YoY % demand change pre-2035 averaged across materials,"per material: max((D_t+1 - D_t)/D_t * 100) for years <= 2035; flattened by mean",demand=US,"PJ (pre-PI): captures spike vs gradual buildout (the qualitative scenario distinction)",2026-04-08
scenario,Uncertainty,mean_cv,dimensionless,Mean coefficient of variation of demand across MC iterations,mean across materials and years of (std/mean) of MC samples,demand=US,"MC convention; Graedel et al. 2012 supply-risk uncertainty framing",2026-04-08
scenario,Tech mix,solar_fraction_2035,dimensionless (0-1),Solar (PV+CSP) capacity share at 2035,sum(pv+csp MW)/sum(total MW) at t=2035,US,"NREL StdScen24 capacity definitions",2026-04-08
scenario,Tech mix,wind_fraction_2035,dimensionless (0-1),Wind capacity share at 2035,sum(wind MW)/sum(total MW) at t=2035,US,"NREL StdScen24",2026-04-08
scenario,Tech mix,solar_fraction_2050,dimensionless (0-1),Solar (PV+CSP) capacity share at 2050,sum(pv+csp MW)/sum(total MW) at t=2050,US,"NREL StdScen24 (PI request 2026-04-03)",2026-04-08
scenario,Tech mix,wind_fraction_2050,dimensionless (0-1),Wind capacity share at 2050,sum(wind MW)/sum(total MW) at t=2050,US,"NREL StdScen24 (PI request 2026-04-03)",2026-04-08
material,Demand growth,growth_rate_long_pct,% per year,Material-level demand CAGR from base year to 2050,"((D_2050/D_base)^(1/n) - 1)*100 with mean across scenarios",demand=US,"CAGR convention",2026-04-08
material,Uncertainty,scenario_cv,dimensionless,Coefficient of variation of total demand across the 61 scenarios,std(scenario_total)/mean(scenario_total) per material,demand=US,"MC convention; cross-scenario sensitivity",2026-04-08
material,Trade exposure,import_dependency,dimensionless (0-1),Net Import Reliance (NIR) per USGS Mineral Commodity Summaries methodology,"(imports - exports)/consumption per year averaged; clipped to [0,1]",US,"USGS MCS 2025 methodology",2026-04-08
material,Concentration / risk,hhi_wgi,dimensionless (0-1),Governance-weighted import concentration HHI per EU CRM methodology,sum(import_share_i^2 * CRC_i/8) over source countries,US imports x global CRC,"Blengini et al. 2017 (EU CRM); Schrijvers et al. 2020",2026-04-08
material,Concentration / risk,production_hhi,dimensionless (0-1),Global production HHI per Graedel criticality framework,sum(country_share_i^2) over global producers,global,"Graedel et al. 2012 ES&T; EU CRM",2026-04-08
material,Concentration / risk,import_hhi,dimensionless (0-1),HHI of US import sources,sum(import_share_i^2) over source countries,US imports,"Graedel et al. 2012",2026-04-08
material,Demand vs production,us_capacity_ratio,dimensionless,Mean US demand relative to US domestic production,mean_scenario(annual_demand) / US_production,US/US,"Habib & Wenzel 2014 demand-vs-production framework",2026-04-08
material,Demand vs production,global_capacity_ratio,dimensionless,Mean US demand relative to global production (single-country squeeze),mean_scenario(annual_demand) / global_production,US/global,"Demand-vs-production framework (PI 2026-04-08: need both US and global)",2026-04-08
material,Reserves,global_reserve_coverage,dimensionless (years equivalent),How many years of US transition demand the global reserve base supports,global_reserves / cumulative_US_demand_2026_2050,global/US (mixing flagged in methods),"USGS reserve reporting; Graedel et al. 2012 static reserve framework",2026-04-08
material,Reserves,domestic_reserve_share,dimensionless (0-1),US share of global reserves (geographic self-sufficiency; demand-independent),US_reserves / global_reserves,reserves only,"Replaces domestic_reserve_coverage which had r=1.000 with global_reserve_coverage (both shared cumulative_demand denominator)",2026-04-08
material,Reserves geography,reserves_china_frac,dimensionless (0-1),China's share of global reserves,China_reserves / global_reserves,global,"USGS reserves data + OECD CRC 2026",2026-04-08
material,Reserves geography,reserves_high_risk_frac,dimensionless (0-1),Fraction of global reserves in high-risk jurisdictions (CRC>=5 + China),sum(reserves where CRC>=5 or China) / global_reserves,global,"OECD Country Risk Classification 2026",2026-04-08
material,Import sourcing,import_china_frac,dimensionless (0-1),Direct US dependence on China as a single supplier,imports_China / total_imports,US imports,"Census Bureau import shares",2026-04-08
