File/Directory Name,Category,Format,Description,Key Columns/Contents,Generated By
material_demand_by_scenario.csv,Core Output,CSV,Monte Carlo simulation output with demand statistics by scenario/year/material,"scenario, year, material, mean, std, p2, p5, p25, p50, p75, p95, p97",monte_carlo_simulation.py
technology_contributions.csv,Sensitivity Analysis,CSV,Technology-level demand contributions per material showing which technologies drive demand,"material, technology, intensity_t_per_mw, total_capacity_mw, expected_demand_tonnes, pct_contribution",analysis/sensitivity_analysis.py
variance_decomposition.csv,Sensitivity Analysis,CSV,Variance decomposition results by material (within-scenario vs between-scenario),"material, within_var, between_var, total_var, within_pct, between_pct, mean_demand",analysis/sensitivity_analysis.py
intensity_elasticity.csv,Sensitivity Analysis,CSV,Intensity elasticity results for each technology-material pair,"material, technology, intensity_t_per_mw, expected_demand_tonnes, pct_contribution_raw, elasticity",analysis/sensitivity_analysis.py
variance_decomposition_by_year.csv,Sensitivity Analysis,CSV,Variance decomposition by material and year (temporal evolution),"material, year, within_var, between_var, total_var, within_pct, between_pct, mean_demand",analysis/sensitivity_analysis.py
spearman_sensitivity.csv,Sensitivity Analysis,CSV,Spearman rank correlation results for intensity-demand sensitivity,"technology, material, target_material, spearman_rho, p_value, abs_rho, significant, direction, interpretation",analysis/sensitivity_analysis.py
spearman_iteration_data.csv,Sensitivity Analysis,CSV,Raw iteration data with sampled intensities and resulting demands,"iteration, I_{tech}_{mat}... (sampled intensities), D_{mat}... (resulting demands)",analysis/sensitivity_analysis.py
sobol_indices.csv,Sensitivity Analysis,CSV,Per-material individual Sobol sensitivity indices,"material, technology, S1, S1_conf, ST, ST_conf, coefficient, n_params, n_evaluations, analytical",analysis/sobol_analysis.py
sobol_grouped_indices.csv,Sensitivity Analysis,CSV,Per-material grouped Sobol indices by technology sector,"material, sector, S1, S1_conf, ST, ST_conf",analysis/sobol_analysis.py
sobol_global_indices.csv,Sensitivity Analysis,CSV,Global Sobol indices for aggregate critical material demand by sector,"sector, S1, S1_conf, ST, ST_conf",analysis/sobol_analysis.py
scenario_features_raw.csv,Clustering Input,CSV,Raw engineered features for scenario clustering,8 scenario features as of 2026-04-08 (demand growth/uncertainty/tech mix; previously 15),feature_engineering.py
material_features_raw.csv,Clustering Input,CSV,Raw engineered features for material clustering,13 material features as of 2026-04-08 (demand growth/uncertainty/supply chain/reserves/import sourcing; previously 23),feature_engineering.py
spca_scores_scenarios.csv,Clustering,CSV,Sparse PCA scores for scenarios (4 components),"scenario, SPC1, SPC2, SPC3, SPC4",clustering/sparse_pca.py
